"phenotype_number","phenotype_name","phenotype_name_short","AIC_1r","AIC_2r","deltaAIC","p","statusCode_2r","statusCode_1r"
82,"denition_DSIL_apexSuperior_incisionSuperior_distance","DSIL",3334.29961647778,3333.67848787156,0.621128606220736,0.105449415657622,"OK","OK"
83,"denition_DMAC_maxillaryDentalArch_completeTrace_meanCurvature","DMAC",3515.24468312925,3517.22921874551,-1.98453561626047,0.901033508439755,"OK","OK"
84,"dentition_DDAP_dentalArchTrace_matlabProcDistance","DDAP",3500.42096599121,3502.38318361089,-1.96221761968536,0.845880773957755,"OK","OK"
85,"denition_DAIS_incisionSupApexSupLine_nsaNspLine_angle","DAIS",3177.44228863774,3179.30373665662,-1.8614480188844,0.709724803453456,"OK","OK"
86,"denition_DAII_incisionInfApexInfLine_nsaNspLine_angle","DAII",3109.4233831073,3110.36877402533,-0.945390918021076,0.304447956817266,"OK","OK"
87,"denition_DAIM_incisionInfApexInfLine_mentonGonionMeanLine_angl","DAIM",3128.20274560352,3130.11202124827,-1.90927564474941,0.763258299816664,"OK","OK"
88,"denition_DAIP_incInfApexInfLine_pogGonMeanLine_angle","DAIP",3126.56904318576,3127.98283167928,-1.41378849352168,0.443887856300648,"OK","OK"
89,"oralCavity_OCHW_intercanHeight_intercanDist_HWRatio","OCHW",3384.0189800343,3385.65708309754,-1.6381030632474,0.547454608247025,"OK","OK"
90,"oralCavity_OPHW_interPM2Height_interPM2Dist_HWRatio","OPHW",3324.64429632014,3326.44729592301,-1.80299960286038,0.657153011562982,"OK","OK"
91,"oralCavity_OMHW_interM2Height_interM2Dist_HWRatio","OMHW",3337.6366948623,3339.60355424371,-1.96685938140445,0.855546901086894,"OK","OK"
92,"oralCavity_OCHL_intercanHeight_intercanHPADist_HLRatio","OCHL",3428.3163766265,3429.79868457714,-1.48230795064501,0.471827851882246,"OK","OK"
93,"oralCavity_OPHL_interPM2Height_interPM2HPADist_HLRatio","OPHL",3446.91202525736,3448.80066653089,-1.88864127353509,0.738602516071574,"OK","OK"
94,"oralCavity_OMHL_interM2Height_interM2HPADist_HLRatio","OMHL",3358.42011213253,3359.93826731691,-1.51815518437434,0.487587877163202,"OK","OK"
95,"oralCavity_OCLW_intercanDist_intercanHPADist_WLRatio","OCLW",3458.3062751269,3460.03341419818,-1.72713907128218,0.601419061759423,"OK","OK"
96,"oralCavity_OPLW_interPM2Dist_interPM2HPADist_WLRatio","OPLW",3279.61021741142,3281.06245591134,-1.45223849991908,0.459233789189355,"OK","OK"
97,"oralCavity_OMLW_interM2Dist_interM2HPADist_WLRatio","OMLW",2900.22863258684,2901.57118067655,-1.34254808971127,0.417460958627283,"OK","OK"
98,"oralCavity_OCPR_intercanDist_interPM2Dist_ratio","OCPR",3354.82202909401,3356.77307171992,-1.95104262591121,0.824887554049005,"OK","OK"
99,"oralCavity_OCMR_intercanDist_interM2Dist_ratio","OCMR",3361.69287883047,3362.70824831189,-1.01536948141711,0.321058273309141,"OK","OK"
100,"oralCavity_OPMR_interPM2Dist_interM2Dist_ratio","OPMR",3270.28568428209,3272.06519120032,-1.77950691823571,0.638664471396615,"OK","OK"
101,"mandible_MIGD_intergonial_distance","MIGD",1434.89053722715,1436.45062462396,-1.56008739681829,0.507164641094856,"OK","OK"
102,"mandible_MICD_intercondylion_distance","MICD",757.500298536461,757.808373414047,-0.308074877585909,0.193347389975708,"OK","OK"
103,"mandible_MMPG_menton_pogonion_distance","MMPG",3448.84463943717,3450.84332122559,-1.9986817884278,0.971037422129622,"OK","OK"
104,"mandible_MPGL_pogonion_gonionLeft_distance","MPGL",2374.39921742007,2375.82110482775,-1.42188740768461,0.447053076849615,"OK","OK"
105,"mandible_MPGR_pogonion_gonionRight_distance","MPGR",2366.08942692301,2361.45866052802,4.63076639499059,0.010023213004001,"OK","OK"
106,"mandible_MCGL_condylionLeft_gonionLeft_distance","MCGL",2921.77671637486,2920.2385852757,1.53813109916427,0.0599730000445935,"OK","OK"
107,"mandible_MCGR_condylionRight_gonionRight_distance","MCGR",2890.13271048857,2886.00893489987,4.12377558869366,0.0133375632546168,"OK","OK"
108,"mandible_MCGD_condylionMean_gonionMean_distance","MCGD",2762.5163304062,2757.28277728772,5.23355311848172,0.00715534527225643,"OK","OK"
109,"mandible_MCPD_condylionMean_pogonion_distance","MCPD",1891.10565334226,1887.1060836543,3.99956968796846,0.0143093681426553,"OK","OK"
110,"mandible_MCMD_condylionMean_menton_distance","MCMD",1903.6759720437,1904.81570608357,-1.13973403986779,0.35366427523954,"OK","OK"
111,"mandible_MGPD_gonionMean_pogonion_distance","MGPD",2489.47381619911,2489.91621137256,-0.442395173456589,0.212016264588318,"OK","OK"
112,"mandible_MGMD_gonionMean_menton_distance","MGMD",2608.44790284697,2610.1595520755,-1.7116492285254,0.591279338102772,"OK","OK"
113,"mandible_MCGM_gonionMeanConylionMean_gonionMeanMenton_angle","MCGM",2391.13649188017,2392.28419683928,-1.14770495910625,0.355903891614694,"OK","OK"
114,"mandible_MCGP_gonionMeanConylionMean_gonionMeanPogonion_angle","MCGP",2478.17586865728,2480.06682560767,-1.89095695038668,0.74123625129286,"OK","OK"
115,"skull_SHSW_headSideLeft_headSideRight_distance","SHSW",1510.49733561073,1482.43383504486,28.0635005658671,4.18127398514462e-08,"OK","OK"
116,"skull_SHBN_headBack_nasion_distance","SHBN",1353.50665294158,1355.42722019768,-1.92056725609632,0.778067615216114,"OK","OK"
117,"skull_SBAS_basion_sella_distance","SBAS",2665.67121171862,2665.31974086241,0.351470856216565,0.125164860378948,"OK","OK"
118,"skull_SBAN_basion_nasion_distance","SBAN",2015.74654046185,2017.74171150871,-1.99517104685469,0.944599059374129,"OK","OK"
119,"skull_SBAP_basion_prosthion_distance","SBAP",2083.65340191954,2083.29810549416,0.355296425379947,0.124858149519713,"OK","OK"
120,"skull_SBNA_basion_nsa_distance","SBNA",2128.60900666856,2129.18284651676,-0.573839848203534,0.232392127387997,"OK","OK"
121,"skull_SBNP_basion_nsp_distance","SBNP",2701.7149252162,2703.09099992476,-1.37607470856119,0.429592352326583,"OK","OK"
122,"skull_SNNA_nasion_nsa_distance","SNNA",2853.86690420865,2855.31177454459,-1.44487033594123,0.4562292581836,"OK","OK"
123,"skull_SNNP_nasion_nsp_distance","SNNP",2344.38017745658,2332.97999878591,11.4001786706754,0.000251600331011527,"OK","OK"
124,"skull_SNAM_nasion_menton_distance","SNAM",2063.99703779991,2065.89026422831,-1.89322642840307,0.743847709416227,"OK","OK"
125,"skull_SNAP_nasion_pogonion_distance","SNAP",2188.36135328894,2190.02043520555,-1.65908191661083,0.559299765589737,"OK","OK"
126,"skull_SSEN_sella_nasion_distance","SSEN",2025.98364293288,2021.44376024078,4.5398826921039,0.0105482304457468,"OK","OK"
